,Simulation,Observation,Variable,Study
0,0.4028780346539554,0.358,kec,Wardle and Parkinson (1990)
1,0.3393113345023857,0.379,kec,Wardle and Parkinson (1990)
2,0.3393090539109749,0.335,kec,Wardle and Parkinson (1990)
3,0.3393090539109749,0.296,kec,Wardle and Parkinson (1990)
4,0.4028780346539554,0.379,kec,Wardle and Parkinson (1990)
5,0.3393113345023857,0.396,kec,Wardle and Parkinson (1990)
6,0.3393090539109749,0.352,kec,Wardle and Parkinson (1990)
7,0.3393090539109749,0.319,kec,Wardle and Parkinson (1990)
8,0.4028780346539554,0.4,kec,Wardle and Parkinson (1990)
9,0.3393113345023857,0.411,kec,Wardle and Parkinson (1990)
10,0.3393090539109749,0.378,kec,Wardle and Parkinson (1990)
11,0.3393090539109749,0.35,kec,Wardle and Parkinson (1990)
12,0.4028780346539554,0.39,kec,Wardle and Parkinson (1990)
13,0.3393113345023857,0.389,kec,Wardle and Parkinson (1990)
14,0.3393090539109749,0.371,kec,Wardle and Parkinson (1990)
15,0.3393090539109749,0.328,kec,Wardle and Parkinson (1990)
16,0.4028780346539554,0.403,kec,Wardle and Parkinson (1990)
17,0.3393113345023857,0.382,kec,Wardle and Parkinson (1990)
18,0.3393090539109749,0.358,kec,Wardle and Parkinson (1990)
19,0.3393090539109749,0.316,kec,Wardle and Parkinson (1990)
20,0.4028780346539554,0.402,kec,Wardle and Parkinson (1990)
21,0.3393113345023857,0.391,kec,Wardle and Parkinson (1990)
22,0.3393090539109749,0.358,kec,Wardle and Parkinson (1990)
23,0.3393090539109749,0.347,kec,Wardle and Parkinson (1990)
24,0.4028780346539554,0.404,kec,Wardle and Parkinson (1990)
25,0.3393113345023857,0.415,kec,Wardle and Parkinson (1990)
26,0.3393090539109749,0.417,kec,Wardle and Parkinson (1990)
27,0.3393090539109749,0.357,kec,Wardle and Parkinson (1990)
28,0.4028780346539554,0.422,kec,Wardle and Parkinson (1990)
29,0.3393113345023857,0.435,kec,Wardle and Parkinson (1990)
30,0.3393090539109749,0.391,kec,Wardle and Parkinson (1990)
31,0.3393090539109749,0.389,kec,Wardle and Parkinson (1990)
32,0.4028780346539554,0.421,kec,Wardle and Parkinson (1990)
33,0.3393113345023857,0.421,kec,Wardle and Parkinson (1990)
34,0.3393090539109749,0.396,kec,Wardle and Parkinson (1990)
35,0.3393090539109749,0.37,kec,Wardle and Parkinson (1990)
36,0.4028780346539554,0.435,kec,Wardle and Parkinson (1990)
37,0.3393113345023857,0.44,kec,Wardle and Parkinson (1990)
38,0.3393090539109749,0.4,kec,Wardle and Parkinson (1990)
39,0.3393090539109749,0.346,kec,Wardle and Parkinson (1990)
0,49.9583680266445,49.9583680266445,S,Marstorp and Witter (1999)
1,49.69531641132883,,S,Marstorp and Witter (1999)
2,49.36635577704379,39.8509263670649,S,Marstorp and Witter (1999)
3,49.018459538124716,,S,Marstorp and Witter (1999)
4,48.70847860823479,30.723060551145,S,Marstorp and Witter (1999)
5,48.38993914045797,,S,Marstorp and Witter (1999)
6,48.173687525877206,,S,Marstorp and Witter (1999)
7,47.89971796443479,30.500429677586,S,Marstorp and Witter (1999)
8,47.73363758529046,,S,Marstorp and Witter (1999)
9,47.622283275553166,,S,Marstorp and Witter (1999)
10,47.4543763513657,,S,Marstorp and Witter (1999)
11,47.28549838330059,,S,Marstorp and Witter (1999)
12,47.172412756901984,19.5915168731939,S,Marstorp and Witter (1999)
13,47.00208528855784,,S,Marstorp and Witter (1999)
14,46.888094238480576,,S,Marstorp and Witter (1999)
15,46.65912971545706,,S,Marstorp and Witter (1999)
16,46.54418443265102,,S,Marstorp and Witter (1999)
17,46.371222675453794,0.890523494236081,S,Marstorp and Witter (1999)
18,46.25556828277766,,S,Marstorp and Witter (1999)
19,46.08159145600757,,S,Marstorp and Witter (1999)
20,45.84874342645053,,S,Marstorp and Witter (1999)
21,45.73196017266683,,S,Marstorp and Witter (1999)
22,45.556355643072266,0.890523494236081,S,Marstorp and Witter (1999)
23,45.262586307874564,,S,Marstorp and Witter (1999)
24,44.967520684165805,,S,Marstorp and Witter (1999)
25,44.611833168122686,,S,Marstorp and Witter (1999)
26,44.19478327083173,,S,Marstorp and Witter (1999)
27,43.8955984182941,,S,Marstorp and Witter (1999)
28,43.3545286844901,,S,Marstorp and Witter (1999)
29,42.44613111318981,0.890523494236081,S,Marstorp and Witter (1999)
30,41.03952990409719,,S,Marstorp and Witter (1999)
31,38.25352687745313,,S,Marstorp and Witter (1999)
32,36.07186576456079,,S,Marstorp and Witter (1999)
33,33.95561944893075,,S,Marstorp and Witter (1999)
34,31.85619434707954,,S,Marstorp and Witter (1999)
35,29.786895071806313,,S,Marstorp and Witter (1999)
36,25.788181222576096,,S,Marstorp and Witter (1999)
37,23.93589205941684,,S,Marstorp and Witter (1999)
38,22.099986362027813,,S,Marstorp and Witter (1999)
39,20.294714889277262,,S,Marstorp and Witter (1999)
40,18.62917920935509,,S,Marstorp and Witter (1999)
41,0.0,0.0,CO2,Marstorp and Witter (1999)
42,0.27366170832592185,0.008871352656646,CO2,Marstorp and Witter (1999)
43,0.5803265125383829,0.032600542098624,CO2,Marstorp and Witter (1999)
44,0.8736370103292878,0.070857514413369,CO2,Marstorp and Witter (1999)
45,1.1159467514977812,0.134096735238337,CO2,Marstorp and Witter (1999)
46,1.351625300082627,0.223020961602405,CO2,Marstorp and Witter (1999)
47,1.5058806213712514,0.335527014861182,CO2,Marstorp and Witter (1999)
48,1.6962533417052688,0.499120607792758,CO2,Marstorp and Witter (1999)
49,1.8094594792317573,0.697518338062734,CO2,Marstorp and Witter (1999)
50,1.884593751813235,0.928798604420278,CO2,Marstorp and Witter (1999)
51,1.996882140139648,1.20482520589228,CO2,Marstorp and Witter (1999)
52,2.1087723515280326,1.54271065806504,CO2,Marstorp and Witter (1999)
53,2.1831928238334473,1.9542703817642,CO2,Marstorp and Witter (1999)
54,2.2946273414827507,2.44782781468932,CO2,Marstorp and Witter (1999)
55,2.3688188126171292,3.05049177740157,CO2,Marstorp and Witter (1999)
56,2.517053383979729,3.77571411521204,CO2,Marstorp and Witter (1999)
57,2.591130017794976,4.61946575147739,CO2,Marstorp and Witter (1999)
58,2.702234740732822,5.44343181739781,CO2,Marstorp and Witter (1999)
59,2.7763157554510554,6.06784639660365,CO2,Marstorp and Witter (1999)
60,2.8874808251233692,6.49827282310138,CO2,Marstorp and Witter (1999)
61,3.0358292539601677,6.81925821001246,CO2,Marstorp and Witter (1999)
62,3.1100755057424774,7.05303393220556,CO2,Marstorp and Witter (1999)
63,3.221552515458835,7.26029728613466,CO2,Marstorp and Witter (1999)
64,3.40767584043187,7.41260698189923,CO2,Marstorp and Witter (1999)
65,3.594261129133938,7.54194355675537,CO2,Marstorp and Witter (1999)
66,3.8188312272924247,7.67134028608546,CO2,Marstorp and Witter (1999)
67,4.081803110949451,7.79195000633347,CO2,Marstorp and Witter (1999)
68,4.270298460669543,7.90888521122895,CO2,Marstorp and Witter (1999)
69,4.61097496196938,8.03555827965568,CO2,Marstorp and Witter (1999)
70,5.182604669319866,8.14378063415918,CO2,Marstorp and Witter (1999)
71,6.06751187656748,8.24401963062133,CO2,Marstorp and Witter (1999)
72,7.820604127209611,8.39189142211409,CO2,Marstorp and Witter (1999)
73,9.19409796033019,8.5462248862519,CO2,Marstorp and Witter (1999)
74,10.527037595812528,8.74758307598931,CO2,Marstorp and Witter (1999)
75,11.850005762637403,8.94949841073534,CO2,Marstorp and Witter (1999)
