,Simulation,Observation,Variable,Study
0,0.4119072503122082,0.358,kec,Wardle and Parkinson (1990)
1,0.3837420481812502,0.379,kec,Wardle and Parkinson (1990)
2,0.3731531405548839,0.335,kec,Wardle and Parkinson (1990)
3,0.36450967708703347,0.296,kec,Wardle and Parkinson (1990)
4,0.4119072503122082,0.379,kec,Wardle and Parkinson (1990)
5,0.3837420481812502,0.396,kec,Wardle and Parkinson (1990)
6,0.3731531405548839,0.352,kec,Wardle and Parkinson (1990)
7,0.36450967708703347,0.319,kec,Wardle and Parkinson (1990)
8,0.4119072503122082,0.4,kec,Wardle and Parkinson (1990)
9,0.3837420481812502,0.411,kec,Wardle and Parkinson (1990)
10,0.3731531405548839,0.378,kec,Wardle and Parkinson (1990)
11,0.36450967708703347,0.35,kec,Wardle and Parkinson (1990)
12,0.4119072503122082,0.39,kec,Wardle and Parkinson (1990)
13,0.3837420481812502,0.389,kec,Wardle and Parkinson (1990)
14,0.3731531405548839,0.371,kec,Wardle and Parkinson (1990)
15,0.36450967708703347,0.328,kec,Wardle and Parkinson (1990)
16,0.4119072503122082,0.403,kec,Wardle and Parkinson (1990)
17,0.3837420481812502,0.382,kec,Wardle and Parkinson (1990)
18,0.3731531405548839,0.358,kec,Wardle and Parkinson (1990)
19,0.36450967708703347,0.316,kec,Wardle and Parkinson (1990)
20,0.4119072503122082,0.402,kec,Wardle and Parkinson (1990)
21,0.3837420481812502,0.391,kec,Wardle and Parkinson (1990)
22,0.3731531405548839,0.358,kec,Wardle and Parkinson (1990)
23,0.36450967708703347,0.347,kec,Wardle and Parkinson (1990)
24,0.4119072503122082,0.404,kec,Wardle and Parkinson (1990)
25,0.3837420481812502,0.415,kec,Wardle and Parkinson (1990)
26,0.3731531405548839,0.417,kec,Wardle and Parkinson (1990)
27,0.36450967708703347,0.357,kec,Wardle and Parkinson (1990)
28,0.4119072503122082,0.422,kec,Wardle and Parkinson (1990)
29,0.3837420481812502,0.435,kec,Wardle and Parkinson (1990)
30,0.3731531405548839,0.391,kec,Wardle and Parkinson (1990)
31,0.36450967708703347,0.389,kec,Wardle and Parkinson (1990)
32,0.4119072503122082,0.421,kec,Wardle and Parkinson (1990)
33,0.3837420481812502,0.421,kec,Wardle and Parkinson (1990)
34,0.3731531405548839,0.396,kec,Wardle and Parkinson (1990)
35,0.36450967708703347,0.37,kec,Wardle and Parkinson (1990)
36,0.4119072503122082,0.435,kec,Wardle and Parkinson (1990)
37,0.3837420481812502,0.44,kec,Wardle and Parkinson (1990)
38,0.3731531405548839,0.4,kec,Wardle and Parkinson (1990)
39,0.36450967708703347,0.346,kec,Wardle and Parkinson (1990)
0,49.9583680266445,49.9583680266445,S,Marstorp and Witter (1999)
1,49.708357102363856,,S,Marstorp and Witter (1999)
2,49.413013981207705,39.8509263670649,S,Marstorp and Witter (1999)
3,49.1138382384697,,S,Marstorp and Witter (1999)
4,48.85444132288753,30.723060551145,S,Marstorp and Witter (1999)
5,48.592390260432666,,S,Marstorp and Witter (1999)
6,48.416251717770386,,S,Marstorp and Witter (1999)
7,48.19449950732062,30.500429677586,S,Marstorp and Witter (1999)
8,48.06062239401581,,S,Marstorp and Witter (1999)
9,47.971032568070704,,S,Marstorp and Witter (1999)
10,47.83614696986539,,S,Marstorp and Witter (1999)
11,47.700668428166885,,S,Marstorp and Witter (1999)
12,47.6100244626134,19.5915168731939,S,Marstorp and Witter (1999)
13,47.47357778784745,,S,Marstorp and Witter (1999)
14,47.382296731693344,,S,Marstorp and Witter (1999)
15,47.19898668418375,,S,Marstorp and Witter (1999)
16,47.106962972251246,,S,Marstorp and Witter (1999)
17,46.96847392095452,0.890523494236081,S,Marstorp and Witter (1999)
18,46.87584936809133,,S,Marstorp and Witter (1999)
19,46.73647125071963,,S,Marstorp and Witter (1999)
20,46.54982357112726,,S,Marstorp and Witter (1999)
21,46.4561582769161,,S,Marstorp and Witter (1999)
