,Simulation,Observation,Variable,Study
0,0.4029285591738768,0.358,kec,Wardle and Parkinson (1990)
1,0.36405037246049177,0.379,kec,Wardle and Parkinson (1990)
2,0.3640126161660853,0.335,kec,Wardle and Parkinson (1990)
3,0.36401261616539754,0.296,kec,Wardle and Parkinson (1990)
4,0.4029285591738768,0.379,kec,Wardle and Parkinson (1990)
5,0.36405037246049177,0.396,kec,Wardle and Parkinson (1990)
6,0.3640126161660853,0.352,kec,Wardle and Parkinson (1990)
7,0.36401261616539754,0.319,kec,Wardle and Parkinson (1990)
8,0.4029285591738768,0.4,kec,Wardle and Parkinson (1990)
9,0.36405037246049177,0.411,kec,Wardle and Parkinson (1990)
10,0.3640126161660853,0.378,kec,Wardle and Parkinson (1990)
11,0.36401261616539754,0.35,kec,Wardle and Parkinson (1990)
12,0.4029285591738768,0.39,kec,Wardle and Parkinson (1990)
13,0.36405037246049177,0.389,kec,Wardle and Parkinson (1990)
14,0.3640126161660853,0.371,kec,Wardle and Parkinson (1990)
15,0.36401261616539754,0.328,kec,Wardle and Parkinson (1990)
16,0.4029285591738768,0.403,kec,Wardle and Parkinson (1990)
17,0.36405037246049177,0.382,kec,Wardle and Parkinson (1990)
18,0.3640126161660853,0.358,kec,Wardle and Parkinson (1990)
19,0.36401261616539754,0.316,kec,Wardle and Parkinson (1990)
20,0.4029285591738768,0.402,kec,Wardle and Parkinson (1990)
21,0.36405037246049177,0.391,kec,Wardle and Parkinson (1990)
22,0.3640126161660853,0.358,kec,Wardle and Parkinson (1990)
23,0.36401261616539754,0.347,kec,Wardle and Parkinson (1990)
24,0.4029285591738768,0.404,kec,Wardle and Parkinson (1990)
25,0.36405037246049177,0.415,kec,Wardle and Parkinson (1990)
26,0.3640126161660853,0.417,kec,Wardle and Parkinson (1990)
27,0.36401261616539754,0.357,kec,Wardle and Parkinson (1990)
28,0.4029285591738768,0.422,kec,Wardle and Parkinson (1990)
29,0.36405037246049177,0.435,kec,Wardle and Parkinson (1990)
30,0.3640126161660853,0.391,kec,Wardle and Parkinson (1990)
31,0.36401261616539754,0.389,kec,Wardle and Parkinson (1990)
32,0.4029285591738768,0.421,kec,Wardle and Parkinson (1990)
33,0.36405037246049177,0.421,kec,Wardle and Parkinson (1990)
34,0.3640126161660853,0.396,kec,Wardle and Parkinson (1990)
35,0.36401261616539754,0.37,kec,Wardle and Parkinson (1990)
36,0.4029285591738768,0.435,kec,Wardle and Parkinson (1990)
37,0.36405037246049177,0.44,kec,Wardle and Parkinson (1990)
38,0.3640126161660853,0.4,kec,Wardle and Parkinson (1990)
39,0.36401261616539754,0.346,kec,Wardle and Parkinson (1990)
0,49.9583680266445,49.9583680266445,S,Marstorp and Witter (1999)
1,49.71758620129187,,S,Marstorp and Witter (1999)
2,49.42906690853209,39.8509263670649,S,Marstorp and Witter (1999)
3,49.13377310410227,,S,Marstorp and Witter (1999)
4,48.87623017879532,30.723060551145,S,Marstorp and Witter (1999)
5,48.6152955538378,,S,Marstorp and Witter (1999)
6,48.43973130702863,,S,Marstorp and Witter (1999)
7,48.218715024949155,30.500429677586,S,Marstorp and Witter (1999)
8,48.085364365408374,,S,Marstorp and Witter (1999)
9,47.996183632647146,,S,Marstorp and Witter (1999)
10,47.86202275999892,,S,Marstorp and Witter (1999)
11,47.727427804313166,,S,Marstorp and Witter (1999)
12,47.63747390234491,19.5915168731939,S,Marstorp and Witter (1999)
13,47.50223076694687,,S,Marstorp and Witter (1999)
14,47.41187318156064,,S,Marstorp and Witter (1999)
15,47.230724646569435,,S,Marstorp and Witter (1999)
16,47.13994825908355,,S,Marstorp and Witter (1999)
17,47.00354977067616,0.890523494236081,S,Marstorp and Witter (1999)
18,46.91247040387964,,S,Marstorp and Witter (1999)
19,46.775644885238236,,S,Marstorp and Witter (1999)
20,46.592852405665504,,S,Marstorp and Witter (1999)
21,46.5013131557718,,S,Marstorp and Witter (1999)
22,46.3638376279589,0.890523494236081,S,Marstorp and Witter (1999)
23,46.1342997033827,,S,Marstorp and Witter (1999)
24,45.90429395916691,,S,Marstorp and Witter (1999)
25,45.62773688349742,,S,Marstorp and Witter (1999)
26,45.30441827220144,,S,Marstorp and Witter (1999)
27,45.07308701643625,,S,Marstorp and Witter (1999)
28,44.655981697131224,,S,Marstorp and Witter (1999)
29,43.95914178133248,0.890523494236081,S,Marstorp and Witter (1999)
30,42.88778845058634,,S,Marstorp and Witter (1999)
31,40.78752440606422,,S,Marstorp and Witter (1999)
32,39.156075058252625,,S,Marstorp and Witter (1999)
33,37.57812380642685,,S,Marstorp and Witter (1999)
34,36.01139026341901,,S,Marstorp and Witter (1999)
35,34.46014051885275,,S,Marstorp and Witter (1999)
36,31.420341202857333,,S,Marstorp and Witter (1999)
37,29.982524632098563,,S,Marstorp and Witter (1999)
38,28.531230921231312,,S,Marstorp and Witter (1999)
39,27.072416981859384,,S,Marstorp and Witter (1999)
40,25.69231766458151,,S,Marstorp and Witter (1999)
41,0.0,0.0,CO2,Marstorp and Witter (1999)
42,0.317434467704534,0.008871352656646,CO2,Marstorp and Witter (1999)
43,0.664219943801176,0.032600542098624,CO2,Marstorp and Witter (1999)
