,Simulation,Observation,Variable,Study
0,0.3614598371712011,0.358,kec,Wardle and Parkinson (1990)
1,0.3614598371712011,0.379,kec,Wardle and Parkinson (1990)
2,0.3614598371712011,0.335,kec,Wardle and Parkinson (1990)
3,0.3614598371712011,0.296,kec,Wardle and Parkinson (1990)
4,0.3614598371712011,0.379,kec,Wardle and Parkinson (1990)
5,0.3614598371712011,0.396,kec,Wardle and Parkinson (1990)
6,0.3614598371712011,0.352,kec,Wardle and Parkinson (1990)
7,0.3614598371712011,0.319,kec,Wardle and Parkinson (1990)
8,0.3614598371712011,0.4,kec,Wardle and Parkinson (1990)
9,0.3614598371712011,0.411,kec,Wardle and Parkinson (1990)
10,0.3614598371712011,0.378,kec,Wardle and Parkinson (1990)
11,0.3614598371712011,0.35,kec,Wardle and Parkinson (1990)
12,0.3614598371712011,0.39,kec,Wardle and Parkinson (1990)
13,0.3614598371712011,0.389,kec,Wardle and Parkinson (1990)
14,0.3614598371712011,0.371,kec,Wardle and Parkinson (1990)
15,0.3614598371712011,0.328,kec,Wardle and Parkinson (1990)
16,0.3614598371712011,0.403,kec,Wardle and Parkinson (1990)
17,0.3614598371712011,0.382,kec,Wardle and Parkinson (1990)
18,0.3614598371712011,0.358,kec,Wardle and Parkinson (1990)
19,0.3614598371712011,0.316,kec,Wardle and Parkinson (1990)
20,0.3614598371712011,0.402,kec,Wardle and Parkinson (1990)
21,0.3614598371712011,0.391,kec,Wardle and Parkinson (1990)
22,0.3614598371712011,0.358,kec,Wardle and Parkinson (1990)
23,0.3614598371712011,0.347,kec,Wardle and Parkinson (1990)
24,0.3614598371712011,0.404,kec,Wardle and Parkinson (1990)
25,0.3614598371712011,0.415,kec,Wardle and Parkinson (1990)
26,0.3614598371712011,0.417,kec,Wardle and Parkinson (1990)
27,0.3614598371712011,0.357,kec,Wardle and Parkinson (1990)
28,0.3614598371712011,0.422,kec,Wardle and Parkinson (1990)
29,0.3614598371712011,0.435,kec,Wardle and Parkinson (1990)
30,0.3614598371712011,0.391,kec,Wardle and Parkinson (1990)
31,0.3614598371712011,0.389,kec,Wardle and Parkinson (1990)
32,0.3614598371712011,0.421,kec,Wardle and Parkinson (1990)
33,0.3614598371712011,0.421,kec,Wardle and Parkinson (1990)
34,0.3614598371712011,0.396,kec,Wardle and Parkinson (1990)
35,0.3614598371712011,0.37,kec,Wardle and Parkinson (1990)
36,0.3614598371712011,0.435,kec,Wardle and Parkinson (1990)
37,0.3614598371712011,0.44,kec,Wardle and Parkinson (1990)
38,0.3614598371712011,0.4,kec,Wardle and Parkinson (1990)
39,0.3614598371712011,0.346,kec,Wardle and Parkinson (1990)
0,49.9583680266445,49.9583680266445,S,Marstorp and Witter (1999)
1,47.92217974657799,,S,Marstorp and Witter (1999)
2,45.66280675016249,39.8509263670649,S,Marstorp and Witter (1999)
3,43.52191733797496,,S,Marstorp and Witter (1999)
4,41.776169696998856,30.723060551145,S,Marstorp and Witter (1999)
5,40.10869663843911,,S,Marstorp and Witter (1999)
6,39.038680244207825,,S,Marstorp and Witter (1999)
